Dataset,Split,Method,Queries,GatedPct,CE_Actions,nDCG@10,nDCG@100,Recall@100
scifact,test,Base@k0,300,0.0,0,0.65495,0.68705,0.922
scifact,test,CE-All,300,100.0,300,0.70235,0.72735,0.922
scifact,test,RA-SCE,300,30.0,60,0.655,0.68715,0.922
nfcorpus,test,Base@k0,323,0.0,0,0.31333,0.29066,0.29795
nfcorpus,test,CE-All,323,100.0,323,0.33911,0.30655,0.29795
nfcorpus,test,RA-SCE,323,30.031,68,0.31914,0.2936,0.29795
scidocs,test,Base@k0,1000,0.0,0,0.17125,0.2461,0.39823
scidocs,test,CE-All,1000,100.0,1000,0.18354,0.25377,0.39823
scidocs,test,RA-SCE,1000,30.0,213,0.17357,0.24729,0.39823
nfcorpus,test,RA-SCE,323,10.217,9,0.31359,0.2906,0.29795
nfcorpus,test,RA-SCE,323,20.124,36,0.31621,0.29185,0.29795
nfcorpus,test,RA-SCE,323,39.938,100,0.32182,0.2947,0.29795
scidocs,test,RA-SCE,1000,10.0,37,0.17132,0.24616,0.39823
scidocs,test,RA-SCE,1000,20.0,115,0.17193,0.24646,0.39823
scidocs,test,RA-SCE,1000,40.0,313,0.1745,0.24771,0.39823
